"city","dbpedia","population","country_name","image","flag","currency","religion"
"Patna","http://dbpedia.org/resource/Patna",2231554,"India","http://commons.wikimedia.org/wiki/Special:FilePath/Patna_Montage_2014.jpg?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",79.8
"Islamabad","http://dbpedia.org/resource/Islamabad",2200000,"Pakistan","http://commons.wikimedia.org/wiki/Special:FilePath/Islamabad,_Pakistan_Monument.jpg?width=300","http://dbpedia.org/resource/Pakistan","http://dbpedia.org/resource/Pakistani_rupee",3.6
"Islamabad","http://dbpedia.org/resource/Islamabad",2200000,"Pakistan","http://commons.wikimedia.org/wiki/Special:FilePath/Islamabad,_Pakistan_Monument.jpg?width=300","http://dbpedia.org/resource/Pakistan","http://dbpedia.org/resource/Pakistani_rupee",96.4
"Narayanganj","http://dbpedia.org/resource/Narayanganj",2200000,"Bangladesh","http://commons.wikimedia.org/wiki/Special:FilePath/নারায়ণগঞ্জের_পটভূমি.png?width=300","http://dbpedia.org/resource/Bangladesh","http://dbpedia.org/resource/Bangladeshi_taka",0.9
"Narayanganj","http://dbpedia.org/resource/Narayanganj",2200000,"Bangladesh","http://commons.wikimedia.org/wiki/Special:FilePath/নারায়ণগঞ্জের_পটভূমি.png?width=300","http://dbpedia.org/resource/Bangladesh","http://dbpedia.org/resource/Bangladeshi_taka",10
"Narayanganj","http://dbpedia.org/resource/Narayanganj",2200000,"Bangladesh","http://commons.wikimedia.org/wiki/Special:FilePath/নারায়ণগঞ্জের_পটভূমি.png?width=300","http://dbpedia.org/resource/Bangladesh","http://dbpedia.org/resource/Bangladeshi_taka",89.1
"Sana'a","http://dbpedia.org/resource/Sana'a",2167961,"Yemen","http://commons.wikimedia.org/wiki/Special:FilePath/Sanaa_HDR_(16482367935).jpg?width=300","http://dbpedia.org/resource/Yemen","http://dbpedia.org/resource/Yemeni_rial","http://dbpedia.org/resource/Islam_in_Yemen"
"San José, Costa Rica","http://dbpedia.org/resource/San_José,_Costa_Rica",2158898,"Costa Rica","http://commons.wikimedia.org/wiki/Special:FilePath/Bandera_de_San_José_(Costa_Rica).svg?width=300","http://dbpedia.org/resource/Costa_Rica","http://dbpedia.org/resource/Costa_Rican_colón","http://dbpedia.org/resource/Roman_Catholicism_in_Costa_Rica"
"Coimbatore","http://dbpedia.org/resource/Coimbatore",2136916,"India","http://commons.wikimedia.org/wiki/Special:FilePath/SBI_Coimbatore.jpg?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",0.4
"Coimbatore","http://dbpedia.org/resource/Coimbatore",2136916,"India","http://commons.wikimedia.org/wiki/Special:FilePath/SBI_Coimbatore.jpg?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",0.7
"Coimbatore","http://dbpedia.org/resource/Coimbatore",2136916,"India","http://commons.wikimedia.org/wiki/Special:FilePath/SBI_Coimbatore.jpg?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",0.9
"Coimbatore","http://dbpedia.org/resource/Coimbatore",2136916,"India","http://commons.wikimedia.org/wiki/Special:FilePath/SBI_Coimbatore.jpg?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",1.7
"Coimbatore","http://dbpedia.org/resource/Coimbatore",2136916,"India","http://commons.wikimedia.org/wiki/Special:FilePath/SBI_Coimbatore.jpg?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",2.3
"Coimbatore","http://dbpedia.org/resource/Coimbatore",2136916,"India","http://commons.wikimedia.org/wiki/Special:FilePath/SBI_Coimbatore.jpg?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",14.2
"Coimbatore","http://dbpedia.org/resource/Coimbatore",2136916,"India","http://commons.wikimedia.org/wiki/Special:FilePath/SBI_Coimbatore.jpg?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",79.8
"Rabat","http://dbpedia.org/resource/Rabat",2120192,"Morocco","http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Rabat_Sale_province.svg?width=300","http://dbpedia.org/resource/Morocco","http://dbpedia.org/resource/Moroccan_dirham","Sunni Islam"
"Kozhikode","http://dbpedia.org/resource/Kozhikode",2030519,"India","http://commons.wikimedia.org/wiki/Special:FilePath/Calicut_Marine_skylines.JPG?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",0.4
"Kozhikode","http://dbpedia.org/resource/Kozhikode",2030519,"India","http://commons.wikimedia.org/wiki/Special:FilePath/Calicut_Marine_skylines.JPG?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",0.7
"Kozhikode","http://dbpedia.org/resource/Kozhikode",2030519,"India","http://commons.wikimedia.org/wiki/Special:FilePath/Calicut_Marine_skylines.JPG?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",0.9
"Kozhikode","http://dbpedia.org/resource/Kozhikode",2030519,"India","http://commons.wikimedia.org/wiki/Special:FilePath/Calicut_Marine_skylines.JPG?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",1.7
"Kozhikode","http://dbpedia.org/resource/Kozhikode",2030519,"India","http://commons.wikimedia.org/wiki/Special:FilePath/Calicut_Marine_skylines.JPG?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",2.3
"Kozhikode","http://dbpedia.org/resource/Kozhikode",2030519,"India","http://commons.wikimedia.org/wiki/Special:FilePath/Calicut_Marine_skylines.JPG?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",14.2
"Kozhikode","http://dbpedia.org/resource/Kozhikode",2030519,"India","http://commons.wikimedia.org/wiki/Special:FilePath/Calicut_Marine_skylines.JPG?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",79.8
"Copenhagen","http://dbpedia.org/resource/Copenhagen",2016285,"Denmark","http://commons.wikimedia.org/wiki/Special:FilePath/Copenhagen_Collage2.jpg?width=300","http://dbpedia.org/resource/Denmark","http://dbpedia.org/resource/Danish_krone","http://dbpedia.org/resource/Church_of_Denmark"
"Siliguri","http://dbpedia.org/resource/Siliguri",2010000,"India","http://commons.wikimedia.org/wiki/Special:FilePath/Siliguri_view.jpg?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",0.4
"Siliguri","http://dbpedia.org/resource/Siliguri",2010000,"India","http://commons.wikimedia.org/wiki/Special:FilePath/Siliguri_view.jpg?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",0.7
"Siliguri","http://dbpedia.org/resource/Siliguri",2010000,"India","http://commons.wikimedia.org/wiki/Special:FilePath/Siliguri_view.jpg?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",0.9
"Siliguri","http://dbpedia.org/resource/Siliguri",2010000,"India","http://commons.wikimedia.org/wiki/Special:FilePath/Siliguri_view.jpg?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",1.7
"Siliguri","http://dbpedia.org/resource/Siliguri",2010000,"India","http://commons.wikimedia.org/wiki/Special:FilePath/Siliguri_view.jpg?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",2.3
"Siliguri","http://dbpedia.org/resource/Siliguri",2010000,"India","http://commons.wikimedia.org/wiki/Special:FilePath/Siliguri_view.jpg?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",14.2
"Siliguri","http://dbpedia.org/resource/Siliguri",2010000,"India","http://commons.wikimedia.org/wiki/Special:FilePath/Siliguri_view.jpg?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",79.8
"Banjarmasin","http://dbpedia.org/resource/Banjarmasin",1904427,"Indonesia","http://commons.wikimedia.org/wiki/Special:FilePath/Lambang_Kota_Banjarmasin.gif?width=300","http://dbpedia.org/resource/Indonesia","http://dbpedia.org/resource/Indonesian_rupiah","http://dbpedia.org/resource/Hinduism"
"Banjarmasin","http://dbpedia.org/resource/Banjarmasin",1904427,"Indonesia","http://commons.wikimedia.org/wiki/Special:FilePath/Lambang_Kota_Banjarmasin.gif?width=300","http://dbpedia.org/resource/Indonesia","http://dbpedia.org/resource/Indonesian_rupiah","http://dbpedia.org/resource/Confucianism"
"Banjarmasin","http://dbpedia.org/resource/Banjarmasin",1904427,"Indonesia","http://commons.wikimedia.org/wiki/Special:FilePath/Lambang_Kota_Banjarmasin.gif?width=300","http://dbpedia.org/resource/Indonesia","http://dbpedia.org/resource/Indonesian_rupiah","http://dbpedia.org/resource/Roman_Catholicism"
"Banjarmasin","http://dbpedia.org/resource/Banjarmasin",1904427,"Indonesia","http://commons.wikimedia.org/wiki/Special:FilePath/Lambang_Kota_Banjarmasin.gif?width=300","http://dbpedia.org/resource/Indonesia","http://dbpedia.org/resource/Indonesian_rupiah","http://dbpedia.org/resource/Buddhism"
"Banjarmasin","http://dbpedia.org/resource/Banjarmasin",1904427,"Indonesia","http://commons.wikimedia.org/wiki/Special:FilePath/Lambang_Kota_Banjarmasin.gif?width=300","http://dbpedia.org/resource/Indonesia","http://dbpedia.org/resource/Indonesian_rupiah","http://dbpedia.org/resource/Protestantism"
"Banjarmasin","http://dbpedia.org/resource/Banjarmasin",1904427,"Indonesia","http://commons.wikimedia.org/wiki/Special:FilePath/Lambang_Kota_Banjarmasin.gif?width=300","http://dbpedia.org/resource/Indonesia","http://dbpedia.org/resource/Indonesian_rupiah","http://dbpedia.org/resource/Islam"
"Banjarmasin","http://dbpedia.org/resource/Banjarmasin",1904427,"Indonesia","http://commons.wikimedia.org/wiki/Special:FilePath/Lambang_Kota_Banjarmasin.gif?width=300","http://dbpedia.org/resource/Indonesia","http://dbpedia.org/resource/Indonesian_rupiah","Recognized:"
"Bhopal","http://dbpedia.org/resource/Bhopal",1886100,"India","http://commons.wikimedia.org/wiki/Special:FilePath/BadaTalaabBhopal3.jpg?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",0.4
"Bhopal","http://dbpedia.org/resource/Bhopal",1886100,"India","http://commons.wikimedia.org/wiki/Special:FilePath/BadaTalaabBhopal3.jpg?width=300","http://dbpedia.org/resource/India","http://dbpedia.org/resource/Indian_rupee",0.7
